gx,gy,gz,x,y,z
-1,0,-1,2,0,-62
-1,0,-1,1,0,-62
-1,0,-1,1,0,-62
-1,0,-1,3,-1,-62
-1,0,-1,3,-1,-62
-1,-1,-1,3,0,-62
-1,-1,-1,2,0,-61
-1,-1,-2,2,1,-62
-1,-1,-2,4,0,-62
-1,-1,-2,2,1,-62
-1,-1,-2,2,1,-62
-1,-1,-2,4,1,-63
-1,-1,-2,3,2,-63
-1,0,-2,2,2,-64
-1,0,-2,3,2,-64
-1,0,-2,2,3,-63
-1,0,-2,3,3,-64
-1,0,-1,3,2,-64
-1,0,-1,2,3,-62
-1,0,-2,2,3,-62
-1,0,-2,1,2,-61
-1,0,-2,2,2,-61
-1,0,-2,3,2,-62
-1,0,-2,1,3,-61
-1,0,-2,2,3,-62
-1,0,-2,4,3,-63
-1,0,-2,2,4,-63
-1,0,-2,1,5,-62
-1,0,-2,3,3,-63
-1,0,-2,3,3,-62
-1,0,-2,1,4,-61
-1,0,-3,2,4,-63
-1,0,-2,4,5,-63
-1,0,-2,2,4,-62
-1,0,-2,2,4,-61
-1,0,-3,4,3,-62
-1,0,-3,4,4,-62
-1,0,-3,3,5,-62
-1,0,-3,3,4,-62
-1,0,-3,4,3,-62
-1,0,-3,5,4,-63
-1,0,-3,3,5,-63
0,0,-2,3,5,-62
-1,0,-2,4,5,-62
-1,0,-3,4,5,-62
-1,0,-2,4,5,-62
-1,0,-2,4,5,-61
-1,0,-3,3,6,-61
-1,0,-3,3,7,-62
-1,0,-3,3,5,-62
-1,0,-2,3,6,-62
-1,0,-2,4,6,-62
-1,0,-3,4,5,-62
-1,0,-3,3,6,-62
-1,0,-3,3,7,-61
-1,0,-3,3,6,-62
-1,0,-3,3,5,-61
-1,0,-3,2,6,-60
-1,0,-3,3,6,-61
-1,0,-2,5,6,-62
0,0,-2,5,7,-62
-1,0,-2,2,7,-61
-1,0,-3,0,6,-61
0,0,-2,3,7,-62
0,-1,-2,5,7,-62
0,0,-2,4,7,-62
0,0,-2,3,7,-62
-1,0,-2,2,7,-62
-1,-1,-2,3,7,-63
0,-1,-2,3,5,-62
1,-1,-1,3,7,-61
0,-1,-2,2,6,-61
0,-1,-2,0,6,-60
0,-1,-2,1,6,-61
-1,-1,-3,2,6,-62
-1,-1,-2,3,6,-62
-1,-1,-2,3,6,-62
-1,-1,-2,2,6,-63
-1,-1,-2,1,6,-63
-1,-1,-2,2,6,-63
-1,-1,-2,2,7,-63
-1,-1,-2,3,6,-62
-1,0,-2,2,5,-62
0,0,-2,2,6,-62
0,0,-2,1,6,-62
0,0,-2,1,6,-62
0,0,-2,1,6,-62
0,0,-2,1,7,-62
0,0,-2,1,7,-62
0,0,-2,2,7,-62
-1,0,-2,1,7,-62
-1,0,-2,-2,6,-62
-1,0,-2,-1,7,-62
-1,-1,-3,1,7,-62
-1,0,-2,1,6,-63
0,0,-2,0,5,-62
0,0,-2,0,6,-61
0,0,-2,0,6,-61
0,0,-2,1,6,-61
-1,0,-3,2,7,-62
0,0,-3,3,6,-62
-1,0,-3,0,6,-62
-1,0,-2,-2,6,-62
0,0,-2,0,7,-62
0,0,-2,1,7,-62
0,0,-2,-1,6,-61
-1,-1,-2,-1,6,-61
-1,-1,-2,-1,7,-62
-1,0,-3,-1,6,-62
-1,0,-3,-1,6,-62
-1,0,-3,0,6,-62
-1,0,-3,-1,7,-62
-1,0,-3,1,7,-63
-1,0,-3,-1,7,-63
-1,0,-3,-2,7,-63
0,-1,-3,0,6,-63
0,-1,-3,-1,6,-62
0,-1,-3,-1,7,-63
0,-1,-3,-1,6,-62
-1,-1,-3,-1,7,-62
-1,-1,-3,-1,7,-62
-1,-1,-3,0,7,-62
-1,-1,-3,-1,7,-62
-1,-1,-2,-2,7,-62
-1,-1,-2,-2,7,-62
-1,-1,-2,-3,7,-62
-1,-1,-2,-3,7,-62
0,-1,-2,-3,6,-62
0,0,-2,-3,6,-61
0,-1,-3,-4,7,-61
0,-1,-3,-4,7,-62
0,-1,-3,-2,6,-62
0,-1,-2,-3,6,-62
0,-1,-2,-4,6,-62
0,-1,-2,-3,6,-61
-1,-1,-2,-4,6,-61
-1,-1,-2,-6,6,-62
-1,-1,-3,-5,7,-62
-1,0,-2,-4,7,-62
-1,0,-2,-6,7,-63
-1,0,-3,-7,7,-63
-1,-1,-3,-5,7,-62
-1,-1,-3,-7,6,-63
-1,-1,-3,-5,7,-63
-1,-1,-3,-3,6,-62
-1,0,-3,-4,6,-62
0,-1,-3,-5,6,-62
0,-1,-3,-5,6,-62
0,-1,-2,-5,6,-62
0,-1,-2,-6,7,-62
0,-1,-2,-9,6,-63
0,-1,-3,-8,7,-63
0,-1,-3,-4,6,-61
0,-1,-2,-5,5,-61
0,-1,-2,-7,5,-61
-1,-1,-2,-8,5,-62
-1,-1,-2,-8,6,-62
-1,-1,-2,-9,5,-62
-1,-1,-3,-6,5,-62
0,-1,-2,-5,5,-61
0,0,-2,-8,5,-62
0,0,-2,-9,4,-62
0,-1,-2,-8,4,-62
0,-1,-2,-9,5,-63
0,-1,-2,-10,5,-63
0,-1,-2,-9,5,-62
0,-1,-2,-7,4,-62
0,-1,-2,-9,4,-62
0,-1,-2,-11,4,-62
0,-1,-2,-10,4,-62
-1,-1,-2,-7,4,-61
-1,0,-1,-8,4,-62
-1,0,-1,-10,3,-61
-1,0,-1,-10,3,-60
-1,-1,-1,-11,4,-62
-1,0,-2,-12,4,-63
-1,0,-2,-10,4,-62
-1,0,-2,-10,4,-61
-1,0,-2,-9,4,-61
-1,0,-2,-9,4,-62
-1,0,-2,-10,4,-62
0,0,-2,-9,4,-62
-1,0,-2,-8,4,-61
-1,0,-2,-8,3,-63
-1,0,-2,-10,4,-63
-1,-1,-2,-10,4,-63
-1,-1,-2,-10,4,-61
-1,-2,-2,-9,5,-59
-1,-1,-2,-11,5,-61
-1,-1,-2,-11,4,-65
0,0,-2,-8,3,-65
0,0,-2,-7,3,-63
0,0,-2,-10,4,-60
0,0,-2,-10,4,-59
0,0,-2,-8,3,-60
0,0,-1,-9,2,-63
0,0,-2,-11,2,-63
0,-1,-2,-11,2,-62
0,-1,-2,-9,2,-62
0,0,-2,-8,1,-63
0,0,-2,-8,1,-61
