gx,gy,gz,x,y,z
-1,-2,-1,-1,-66,9
-1,-2,-1,-1,-66,9
-1,-2,-1,0,-66,9
-1,-2,0,0,-66,10
-1,-1,0,-1,-66,8
-1,-1,0,-1,-65,8
-1,-1,0,-1,-66,8
-1,-2,0,-1,-66,9
-1,-2,0,-2,-66,10
-1,-2,0,-2,-66,12
-1,-2,-1,0,-66,7
-1,-2,0,-1,-66,8
-1,-2,0,-1,-66,10
-1,-2,0,0,-66,7
-1,-2,0,0,-67,7
-1,-2,0,-1,-67,12
-1,-2,0,-2,-66,8
-1,-2,0,-2,-67,4
-1,-2,-1,-2,-66,6
-1,-2,-1,-2,-66,6
-1,-2,-1,1,-66,7
-1,-1,0,2,-65,10
-1,-2,0,-5,-67,4
-1,-2,-1,-2,-67,5
-1,-1,-1,-3,-66,9
-1,-2,-1,-3,-67,5
-1,-2,-1,-2,-66,5
-1,-2,-1,-1,-66,7
-1,-2,-1,0,-66,5
-1,-2,-1,1,-66,5
-1,-2,-1,1,-66,6
-1,-2,-1,0,-66,6
0,-2,-1,-1,-66,6
0,-3,-1,1,-66,7
-1,-3,-1,2,-66,6
-1,-3,-1,6,-66,4
0,-3,-1,5,-66,3
0,-3,-1,3,-66,6
-1,-2,-1,3,-67,6
-1,-2,-1,4,-66,6
-1,-2,0,5,-65,5
0,-3,0,9,-65,6
-1,-2,1,0,-67,3
0,-2,0,1,-67,4
0,-2,0,2,-66,9
-1,-2,0,2,-67,6
-1,-2,0,2,-67,6
-1,-1,0,1,-66,7
-1,-2,0,1,-67,6
-1,-2,0,3,-66,5
-1,-1,0,0,-66,6
-2,-1,0,0,-66,5
-2,-2,0,0,-66,3
-1,-2,0,1,-66,2
-1,-2,0,0,-65,2
-1,-2,0,1,-65,1
-1,-2,0,1,-66,0
-1,-1,0,-1,-66,1
-1,-2,0,-1,-65,2
-1,-2,0,-1,-66,0
0,-2,0,-1,-67,2
0,-2,-1,-2,-66,4
-1,-2,-1,-2,-67,5
-1,-3,-1,-1,-66,4
-1,-3,-1,2,-67,1
-1,-3,-1,3,-67,1
-1,-3,-1,2,-66,1
-1,-3,-1,3,-66,-2
-1,-2,-1,2,-66,-1
-1,-2,-1,2,-66,0
-1,-2,-1,2,-66,0
-1,-3,-1,4,-65,-3
0,-2,0,2,-66,-2
0,-2,0,2,-66,0
0,-2,0,1,-66,1
0,-2,0,2,-67,0
0,-2,0,-1,-66,-1
0,-2,0,0,-66,-1
0,-1,-1,0,-67,3
0,-1,-1,-2,-66,5
0,-1,-1,2,-66,1
0,-1,-1,2,-67,0
0,-1,0,0,-66,4
0,-1,-1,2,-67,1
0,-1,0,4,-67,0
0,0,0,0,-66,3
0,-1,0,0,-67,2
0,-1,-1,2,-66,2
-1,-1,0,1,-66,0
0,0,0,0,-66,2
0,0,0,-2,-67,3
-1,1,-1,0,-67,4
-1,2,-1,-1,-68,3
-1,2,-1,-2,-66,5
-1,1,-1,5,-66,0
-1,2,-1,7,-66,-3
0,3,0,1,-65,-1
0,4,0,-1,-66,2
0,3,-1,1,-65,3
0,3,-1,-1,-65,3
0,3,-1,-2,-65,2
0,3,-1,0,-66,1
0,3,-1,-1,-65,5
0,2,-1,1,-66,5
-1,1,-1,3,-66,5
-1,1,-1,3,-65,4
-1,0,-1,5,-66,1
-1,0,-1,6,-66,2
-1,0,-1,7,-66,2
-1,0,-1,7,-67,0
0,1,0,5,-66,4
0,0,0,4,-66,5
-1,0,0,6,-67,0
0,0,0,3,-66,3
0,-1,0,3,-66,4
0,-1,0,4,-65,2
0,-2,0,4,-65,3
0,-2,1,4,-65,3
0,-2,1,0,-66,5
0,-3,0,0,-65,4
0,-3,0,0,-66,3
0,-2,0,0,-66,3
0,-3,0,1,-66,4
0,-2,0,0,-66,5
0,-3,0,-1,-66,5
0,-3,0,1,-66,5
0,-2,0,-1,-67,7
0,-2,0,-2,-67,9
0,-2,0,-1,-67,8
0,-2,0,-1,-67,7
0,-2,0,-1,-67,6
0,-1,0,-1,-67,5
0,-1,0,-1,-67,6
-1,-1,-1,-1,-66,6
-1,-2,-1,0,-67,4
-1,-2,-1,0,-67,5
-1,-2,-1,-1,-66,4
-1,-2,-1,0,-66,3
-1,-2,-1,-1,-66,6
-1,-2,-1,0,-65,4
-1,-2,0,2,-65,3
0,-2,0,-1,-64,6
-1,-2,0,-3,-65,4
-1,-2,0,-2,-65,3
0,-2,0,-1,-66,4
0,-2,-1,1,-66,7
-1,-2,-1,1,-66,4
0,-2,-1,2,-66,2
0,-1,0,0,-66,4
0,-1,0,-2,-67,5
0,-1,-1,0,-67,7
0,-1,-1,-1,-67,6
0,-1,-1,-1,-66,7
0,-1,-1,1,-66,6
0,-1,-1,-2,-67,6
-1,-3,-1,-12,-67,32
-5,-5,-2,6,-69,4
-2,0,-2,7,-69,-24
1,-1,0,3,-61,19
-2,0,0,2,-71,-9
2,1,-1,6,-64,-1
1,0,0,2,-63,12
-2,-1,-1,2,-69,-3
0,-1,-1,6,-66,2
-1,-1,0,2,-67,0
0,-1,0,2,-67,2
0,0,0,2,-67,6
0,-1,0,1,-66,6
0,-1,0,3,-66,5
0,-1,0,1,-66,5
0,-1,0,-1,-66,6
0,-1,0,-1,-66,6
-1,-1,0,4,-67,1
0,-1,0,6,-66,2
0,-1,1,-6,-65,11
-1,-2,0,0,-67,8
-2,-1,0,0,-67,3
-1,-1,0,0,-66,4
-1,-1,0,2,-65,4
-2,-1,0,0,-66,3
-1,-1,0,0,-67,3
-1,-1,0,-2,-66,2
-1,0,0,-1,-65,3
-1,-1,0,-2,-66,2
-1,-1,0,-2,-66,2
-1,-1,0,-1,-66,2
-2,-1,-1,-2,-67,1
-1,-1,-1,-2,-67,2
-2,-1,-1,-2,-66,2
-2,-1,-1,-3,-65,1
-2,-1,-2,-3,-67,0
-2,-1,-2,-2,-68,-1
-1,-1,-2,1,-67,-1
-1,-1,-3,2,-65,0
-2,-1,-2,2,-65,-1
-2,-2,-2,2,-67,-2
-2,-2,-2,4,-67,-3
-2,-2,-2,5,-66,-2
-1,-1,-2,4,-65,-3
-2,-1,-1,2,-61,-2
-2,-2,0,4,-65,-4
-2,-2,0,4,-67,-6
-2,-1,0,3,-66,-6
-2,-1,0,2,-66,-6
-1,-1,0,2,-67,-6
-1,-1,0,4,-65,-7
-1,-1,0,3,-64,-6
-1,-1,0,3,-66,-6
0,-1,0,4,-67,-7
0,-1,0,3,-65,-7
0,-1,0,3,-66,-7
0,-1,0,2,-66,-6
0,-1,0,1,-65,-5
0,-1,0,2,-68,-6
1,0,0,1,-65,-5
