gx,gy,gz,x,y,z
0,0,-1,63,-2,6
-1,-1,-1,64,-2,5
-1,-1,-1,63,-2,5
-1,-1,-1,64,-2,5
-1,0,0,64,-2,5
-1,0,-1,64,-3,4
-1,0,0,64,-1,6
-1,0,0,63,-2,5
-1,0,-1,63,-3,4
-1,0,-1,64,-2,5
-1,0,0,63,-2,5
-1,-1,-1,63,-2,5
-1,-1,0,63,-3,5
-1,-1,0,63,-2,5
-1,-1,0,64,-2,5
-1,-1,0,64,-3,4
-2,-1,0,64,-3,4
-1,0,0,65,-3,5
-1,0,0,64,-3,4
-1,0,0,63,-3,5
-1,0,0,64,-3,5
-1,0,0,63,-4,5
-1,1,0,62,-4,4
-2,1,0,63,-4,6
-2,1,0,63,-5,6
-2,1,0,63,-4,7
-2,0,0,62,-4,6
-2,0,0,64,-5,6
-2,0,0,64,-6,7
-2,0,0,63,-6,7
-2,0,1,64,-5,6
-2,-1,1,65,-6,6
-2,-1,1,63,-7,6
-3,-1,1,63,-8,6
-3,0,1,63,-7,7
-3,-1,1,62,-9,6
-3,0,1,62,-10,6
-3,-1,1,62,-9,7
-2,-1,0,63,-12,7
-2,0,-1,63,-9,6
-3,0,0,61,-10,4
-3,0,0,61,-11,5
-4,0,1,63,-11,8
-3,0,0,65,-10,7
-3,0,-1,62,-8,4
-3,-1,-1,61,-10,5
-4,-1,0,62,-11,5
-4,-1,0,63,-12,6
-4,-1,0,63,-12,6
-3,-1,0,62,-10,5
-3,-1,-1,62,-10,4
-4,-1,0,62,-12,3
-3,-1,0,63,-12,4
-4,0,0,63,-12,4
-4,1,0,65,-13,4
-3,1,0,64,-12,4
-3,1,0,64,-10,6
-3,1,0,63,-14,5
-2,1,-1,63,-13,5
-2,1,-1,62,-11,5
-2,0,-1,63,-12,6
-2,0,-1,63,-12,6
-2,0,-1,62,-11,6
-3,1,-1,62,-11,6
-3,0,0,61,-11,6
-3,1,0,63,-12,7
-3,1,0,64,-13,8
-3,1,0,61,-12,7
-3,0,-1,62,-11,7
-3,0,-1,63,-12,8
-3,0,-1,63,-13,8
-3,0,-1,62,-12,8
-3,0,-1,63,-13,9
-3,0,-1,62,-11,7
-4,0,-1,64,-11,8
-4,-1,-1,63,-12,8
-4,-1,-1,62,-13,8
-4,0,-1,63,-11,8
-3,1,-1,63,-11,9
-3,1,0,62,-11,9
-3,1,0,64,-12,8
-3,1,0,63,-12,9
-3,1,0,62,-13,9
-2,1,0,62,-13,10
-2,1,0,62,-13,10
-2,0,0,61,-12,10
-2,0,0,61,-13,10
-2,0,0,61,-13,10
-2,0,0,62,-13,10
-2,0,0,61,-14,10
-2,0,-1,61,-13,10
-1,0,-1,62,-13,11
-2,0,-1,62,-12,10
-2,0,-1,62,-13,10
-2,0,-1,62,-14,10
-2,0,-1,62,-13,11
-2,0,-1,62,-13,10
-1,0,-1,62,-12,10
-2,0,-1,62,-12,11
-2,0,-1,62,-13,10
-2,0,-1,63,-13,11
-2,0,-1,62,-13,11
-2,0,-1,62,-13,10
-2,0,-1,62,-11,11
