gx,gy,gz,x,y,z
-1,-1,-1,-65,-12,7
0,-1,-1,-64,-10,9
0,-1,-1,-61,-10,8
0,-1,-1,-63,-13,7
0,0,-1,-64,-12,8
0,0,-1,-63,-11,8
0,0,-2,-65,-12,8
0,0,-1,-65,-13,7
0,0,-1,-63,-13,8
0,0,-1,-63,-13,7
0,0,-1,-64,-13,8
0,0,-1,-63,-14,7
0,0,-1,-64,-14,7
0,0,-1,-64,-13,8
0,0,-1,-64,-14,7
0,0,-1,-63,-15,6
1,0,-1,-63,-15,7
1,0,-1,-64,-14,7
1,0,-1,-63,-15,7
1,0,-1,-63,-16,6
1,0,-1,-63,-16,7
1,0,-1,-65,-15,7
1,0,0,-64,-15,7
1,0,0,-63,-16,6
1,0,0,-63,-15,6
1,0,0,-64,-16,6
1,0,0,-63,-16,6
1,0,-1,-64,-16,6
2,-1,0,-64,-14,7
2,-1,0,-65,-13,8
2,-1,0,-65,-14,7
2,-1,-1,-64,-13,7
1,-1,-1,-65,-13,8
1,-1,0,-64,-16,8
2,-1,0,-64,-15,8
2,-1,0,-64,-12,9
2,-1,-1,-64,-13,9
2,-1,0,-63,-14,9
2,-1,0,-63,-12,10
2,-1,-1,-64,-11,11
2,-1,-1,-64,-10,12
1,-1,-1,-64,-13,11
1,-1,0,-62,-13,12
2,-1,0,-63,-11,13
1,-1,-1,-64,-10,13
1,-1,-1,-63,-11,13
1,-1,-1,-63,-10,14
1,-1,-1,-63,-8,15
0,-1,0,-63,-9,15
0,-1,-1,-64,-10,15
0,-1,-1,-63,-10,14
0,-1,-1,-63,-10,14
0,-1,-1,-65,-11,14
-1,-1,-1,-65,-12,14
-1,-1,-1,-66,-11,14
-1,-1,0,-66,-12,13
-1,-1,0,-67,-14,13
-1,-1,0,-66,-14,12
0,-1,-1,-65,-14,13
0,-1,-1,-64,-15,13
-1,-1,-1,-64,-16,14
0,-1,-1,-64,-15,14
-1,-1,-1,-64,-14,14
-1,-1,-1,-66,-15,14
-1,-1,-1,-65,-15,14
-1,-1,-1,-64,-15,13
0,-1,-1,-64,-14,14
0,0,-1,-64,-15,13
0,0,-1,-63,-15,13
0,-1,-1,-62,-15,13
0,-1,-1,-62,-16,13
0,-1,-1,-61,-14,13
0,-1,-1,-62,-21,14
