gx,gy,gz,x,y,z
-2,0,4,-2,-5,67
-2,0,3,-1,-5,66
-2,0,3,-2,-5,68
-2,0,3,-1,-5,67
-2,-1,3,1,-7,65
-2,-1,3,-2,-7,67
-2,0,2,-1,-7,66
-2,0,2,-1,-8,66
-1,0,2,-4,-8,67
-1,0,2,-2,-7,67
-2,0,2,-1,-8,66
-1,-1,2,0,-9,65
-1,-1,2,-1,-9,65
-1,-1,3,-3,-9,66
-1,-1,3,-1,-8,67
-1,-1,2,0,-9,66
-1,0,2,-3,-8,68
-1,1,2,-2,-9,66
-1,1,2,-2,-9,65
-1,1,2,-9,-11,68
-1,0,2,-7,-12,65
-1,-1,2,-3,-12,63
-1,-1,2,-3,-14,63
-1,-1,1,-3,-10,64
0,-1,1,-7,-10,67
0,-1,1,-7,-13,66
-1,-1,1,-4,-10,65
0,-1,1,-2,-10,65
-1,-1,1,-2,-11,64
-1,0,1,-2,-9,65
-1,1,2,-11,-10,70
-2,0,1,-8,-11,67
-2,-1,1,-3,-11,64
-1,0,1,-3,-11,65
-1,1,1,-7,-11,66
-1,1,1,-11,-12,66
-2,0,1,-6,-11,65
-2,0,2,-5,-12,65
-2,0,2,-5,-14,63
-2,0,1,-5,-15,62
-1,0,2,-9,-14,65
-1,0,1,-12,-14,66
-1,-1,1,-7,-14,65
-1,0,1,-7,-13,65
-1,0,1,-9,-14,66
-1,-1,1,-10,-15,65
-1,-1,0,-9,-15,65
0,-1,0,-8,-14,65
-1,-1,1,-7,-13,64
-1,-1,1,-7,-15,63
-1,-1,1,-8,-15,64
-1,-1,1,-8,-15,63
0,-1,0,-9,-17,63
0,-1,0,-9,-15,63
0,-1,0,-8,-12,66
0,-1,1,-8,-14,65
0,-1,1,-6,-14,64
0,-1,1,-5,-12,65
0,0,0,-5,-12,65
0,0,0,-6,-11,66
0,0,0,-7,-12,65
0,0,1,-7,-12,65
-1,0,0,-7,-14,64
0,0,0,-7,-13,64
0,0,0,-7,-11,66
0,1,0,-8,-12,65
-1,1,0,-11,-12,65
-1,1,1,-10,-12,64
-2,1,1,-10,-12,63
-2,2,1,-11,-12,63
-3,2,2,-13,-12,61
-4,2,2,-17,-14,63
-4,0,3,-18,-20,61
-4,-7,2,-24,-17,49
-6,-10,4,-8,-23,62
-5,-6,5,2,-18,74
-3,-1,4,-5,-20,69
-2,-1,2,-6,-21,67
-1,-1,2,-7,-21,62
-1,-2,1,-6,-21,64
-1,-1,1,-4,-23,67
-1,0,1,-11,-21,66
-1,0,1,-8,-21,65
-1,0,1,-5,-20,64
0,-1,0,-8,-20,63
0,-1,0,-8,-23,61
0,-1,0,-9,-21,61
-1,-1,1,-9,-20,62
-1,-1,1,-9,-20,62
-1,-1,1,-8,-22,62
-1,-1,1,-8,-23,61
-1,-1,1,-9,-22,61
-1,-1,2,-9,-19,62
-1,-1,2,-7,-21,62
-1,-1,2,-10,-23,64
-1,-1,2,-9,-22,64
-1,-1,2,-6,-20,65
-1,-1,1,-8,-20,66
0,-1,1,-9,-20,64
-1,-1,1,-8,-18,63
-1,-1,1,-8,-18,65
-1,-1,1,-9,-22,65
-1,0,1,-8,-22,65
0,0,1,-9,-21,64
0,0,1,-10,-22,63
0,0,1,-9,-21,63
0,0,1,-10,-19,63
-1,0,1,-9,-19,63
-1,1,1,-9,-18,63
-1,1,1,-14,-20,62
-1,0,1,-12,-21,63
-1,0,1,-12,-21,62
-1,0,1,-11,-20,60
-1,0,1,-14,-20,61
-1,0,2,-15,-19,62
-1,0,2,-14,-21,62
0,0,2,-13,-20,64
0,0,1,-13,-18,62
0,0,1,-14,-19,60
-1,0,1,-17,-22,59
-1,0,2,-18,-23,60
-1,0,2,-15,-21,62
-1,-1,2,-15,-21,64
0,-2,2,-15,-20,61
0,-3,2,-14,-19,62
0,-4,1,-15,-18,60
0,-4,1,-13,-17,62
0,-4,2,-14,-18,63
0,-3,3,-12,-17,64
0,-2,3,-11,-16,66
0,-2,3,-11,-16,64
0,-2,3,-12,-16,63
-1,-2,3,-12,-16,64
-1,-2,3,-11,-16,64
-1,-2,3,-9,-17,64
-1,-2,3,-8,-17,64
-1,-2,2,-7,-15,64
-1,-2,2,-7,-16,64
-1,-1,1,-8,-17,65
-1,-1,1,-10,-16,63
-2,-1,2,-9,-17,64
-2,0,2,-10,-17,64
-1,0,2,-9,-17,64
-1,0,2,-9,-17,63
-1,0,1,-10,-18,63
-1,0,1,-11,-18,62
-1,-1,1,-12,-17,62
